year,region,technology,carriers,spore,capacity_twh
2030,Czechia,Hydro storage,electricity,32,0.20106704154858615
2030,Czechia,Hydro storage,electricity,77,0.11465249400082769
2030,Czechia,Hydro storage,electricity,100,0.11096788719352293
2030,Czechia,Hydro storage,electricity,206,0.22641413488733078
2030,Czechia,Hydro storage,electricity,255,0.04533419823321181
2030,Czechia,Hydro storage,electricity,263,0.21267707032601174
2030,Czechia,Hydro storage,electricity,328,0.21344335661174912
2030,Czechia,Hydro storage,electricity,345,0.04796524423846598
2030,Czechia,Hydro storage,electricity,431,0.252444910163954
2030,Czechia,Hydrogen storage,hydrogen,0,9.711707120916301e-06
2030,Czechia,Hydrogen storage,hydrogen,21,3.811961800430152e-06
2030,Czechia,Hydrogen storage,hydrogen,32,0.001398668309045669
2030,Czechia,Hydrogen storage,hydrogen,77,5.382568962798475e-06
2030,Czechia,Hydrogen storage,hydrogen,100,0.0020160594565534727
2030,Czechia,Hydrogen storage,hydrogen,206,8.194615849172568e-07
2030,Czechia,Hydrogen storage,hydrogen,255,0.0
2030,Czechia,Hydrogen storage,hydrogen,263,3.467117779321632e-06
2030,Czechia,Hydrogen storage,hydrogen,328,3.1860591654251786e-05
2030,Czechia,Hydrogen storage,hydrogen,345,0.0013305101270746804
2030,Czechia,Hydrogen storage,hydrogen,431,1.1592965680391947e-05
2030,Czechia,Methane storage,methane,0,3.0124540021918516
2030,Czechia,Methane storage,methane,21,15.206708689940665
2030,Czechia,Methane storage,methane,32,16.243871171579183
2030,Czechia,Methane storage,methane,77,7.920513081980744
2030,Czechia,Methane storage,methane,100,5.1497499853733855
2030,Czechia,Methane storage,methane,206,7.318949320996236
2030,Czechia,Methane storage,methane,255,4.832289291887162
2030,Czechia,Methane storage,methane,263,4.89958711322058
2030,Czechia,Methane storage,methane,328,6.734830953438011
2030,Czechia,Methane storage,methane,345,11.893421328584054
2030,Czechia,Methane storage,methane,431,10.675575725588285
2030,Denmark,Battery storage,electricity,0,1.1203466026703604e-05
2030,Denmark,Battery storage,electricity,21,2.023802204046939e-06
2030,Denmark,Battery storage,electricity,32,0.0002591361573442253
2030,Denmark,Battery storage,electricity,77,2.786258441368102e-06
2030,Denmark,Battery storage,electricity,100,0.0002187128179563412
2030,Denmark,Battery storage,electricity,206,9.105761627310062e-08
2030,Denmark,Battery storage,electricity,255,0.0
2030,Denmark,Battery storage,electricity,263,8.109726289005498e-06
2030,Denmark,Battery storage,electricity,328,3.439743668128638e-05
2030,Denmark,Battery storage,electricity,345,0.0002301376979837301
2030,Denmark,Battery storage,electricity,431,2.4659933923739607e-06
2030,Denmark,Heat storage,heat,0,0.009110590912617324
2030,Denmark,Heat storage,heat,21,0.007258600791287372
2030,Denmark,Heat storage,heat,32,0.21953105684622629
2030,Denmark,Heat storage,heat,77,0.01523380292762481
2030,Denmark,Heat storage,heat,100,0.041770953822612936
2030,Denmark,Heat storage,heat,206,0.014052396897963731
2030,Denmark,Heat storage,heat,255,0.0
2030,Denmark,Heat storage,heat,263,0.01756519794796804
2030,Denmark,Heat storage,heat,328,0.007477477848371065
2030,Denmark,Heat storage,heat,345,0.15271872380661905
2030,Denmark,Heat storage,heat,431,0.1562262779877169
2030,Denmark,Hydrogen storage,hydrogen,0,1.4004368611484889e-05
2030,Denmark,Hydrogen storage,hydrogen,21,3.0984693407365987e-06
2030,Denmark,Hydrogen storage,hydrogen,32,0.002599690668447624
2030,Denmark,Hydrogen storage,hydrogen,77,7.0249106592516045e-06
2030,Denmark,Hydrogen storage,hydrogen,100,0.00027354363027109005
2030,Denmark,Hydrogen storage,hydrogen,206,5.643042904304811e-07
2030,Denmark,Hydrogen storage,hydrogen,255,0.0
2030,Denmark,Hydrogen storage,hydrogen,263,1.667198890504314e-06
2030,Denmark,Hydrogen storage,hydrogen,328,8.185794038946416e-06
2030,Denmark,Hydrogen storage,hydrogen,345,0.001469195752792409
2030,Denmark,Hydrogen storage,hydrogen,431,4.459443883148622e-06
2030,Denmark,Methane storage,methane,0,2.6518566701096047
2030,Denmark,Methane storage,methane,21,1.8874258807550142
2030,Denmark,Methane storage,methane,32,2.5955371330560837
2030,Denmark,Methane storage,methane,77,1.774895464764597
2030,Denmark,Methane storage,methane,100,2.5386434157778046
2030,Denmark,Methane storage,methane,206,2.614628234486686
2030,Denmark,Methane storage,methane,255,0.44417424361602165
2030,Denmark,Methane storage,methane,263,0.9035432166824395
2030,Denmark,Methane storage,methane,328,2.1183188025584125
2030,Denmark,Methane storage,methane,345,1.9584958313318142
2030,Denmark,Methane storage,methane,431,2.2983800822398956
2030,Estonia,Battery storage,electricity,0,6.809236133710872e-06
2030,Estonia,Battery storage,electricity,21,7.475828779192414e-07
2030,Estonia,Battery storage,electricity,32,8.722604123151173e-05
2030,Estonia,Battery storage,electricity,77,4.3769594578463686e-07
2030,Estonia,Battery storage,electricity,100,1.058323367376717e-05
